Image Name, Appearances, Hits, Misses
Checkerboard.png, 1, 35, -34

Hour, # Successful Pokes
1, 59
2, 26
3, 5
4, 8
5, 13
6, 12
7, 4
8, 13
9, 10
10, 5
11, 8
12, 8

Image, Time of poke, Latencies (sec)
Checkerboard.png, 2613.571, 2613.339
Checkerboard.png, 5622.518, 5622.286
Checkerboard.png, 16078.115, 16077.883
Checkerboard.png, 17206.894, 17206.662
Checkerboard.png, 17507.295, 17507.063
Checkerboard.png, 29400.063, 29399.831
Checkerboard.png, 29638.741, 29638.509000000002
Checkerboard.png, 42762.756, 42762.524
