
Time of reward, Image, Time of poke, Latencies (sec)
Image Name, Appearances, Hits, Misses, Success Rate %, Latency Mean, Latency SEM
Checkerboard.png, 4, 4, 0, 100.0, 4.28925000000163, 0.3017709879484074

Hour, # Successful Pokes
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 2
11, 1
12, 1
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
0.306, Solid.png, TIMEOUT
